rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,label,user_timestamp,user_review_burst,verified_purchase
5,Good,Good,[],B07WMNY8FQ,B07WMNY8FQ,AE2PEKE3WOIWKSWLGF53RDDWH6OA,3/8/2022 22:53,0,1,99999,99999.0,True
5,long lasting scentr,my husband loves it! He says I smell like chocolate. I love it too! it smells very nice and the scent lasts a long time,[],B07BH2LR52,B07BH2LR52,AFHUDUUN5NOCTOYQSZPRDH73Y5XQ,12/18/2018 16:20,3,1,99999,99999.0,False
5,Works great,"Worked great, gets nice and hot.",[],B07DPMCJXV,B07DPMCJXV,AFWEJQEQG54GV53WWVEPMCNYYMKA,3/13/2019 20:46,0,1,99999,99999.0,True
5,Wonderful value and very convenient to have on hand,"Great set. High quality tools (the case is kinda cheap, but does the job). There are probably a few tools in here that I'll never use, but I like having the options available.",[],B076C6K418,B076C6K418,AGUZ73F5BGPVTP7ONICVCZOLBKMQ,4/26/2018 2:33,0,0,99999,99999.0,True
2,Difficult and confusing to use,Difficult to figure out where and how to place the stencil for each look.  At least it was cheap.,[],B075GQDVVT,B075GQDVVT,AG7VOBCB5XP5SJBJSYZV2KGHF5AA,1/9/2020 6:06,0,0,99999,99999.0,True
5,Five Stars,Very good,[],B01IADWV2I,B01IADWV2I,AHH7ICZ6DYYT2XZIMFF33X57ZUQA,2/19/2018 14:20,0,1,99999,99999.0,True
2,Two Stars,The serum is good smell very good work fantastic,[],B00XDB3QTA,B00XDB3QTA,AGFRO3XU6EEPCBFZYVE7U7SHLMDA,9/4/2015 20:53,0,0,99999,99999.0,True
3,Cosplay only,"It’s not a terrible unit at this price point, but it’s not all that great either. The hair is way too shiny, and it tangles immediately. The simulated scalp is obvious and the front line isn’t any better. It would be better if the hair was better quality, but it’s definitely has a plastic feel to it. I’d recommend for cosplay or bedroom use only, and I would t expect more than 1 or 2 uses out of it...","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81+LBSfk34L._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81+LBSfk34L._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81+LBSfk34L._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81CmfEUnIvL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81CmfEUnIvL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81CmfEUnIvL._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81O68yGkNoL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81O68yGkNoL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81O68yGkNoL._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81T7QPMWzcL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81T7QPMWzcL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81T7QPMWzcL._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YqvIDvQYL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YqvIDvQYL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YqvIDvQYL._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81uiVkwGaoL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81uiVkwGaoL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81uiVkwGaoL._SL256_.jpg'}
 {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91phFYTqprL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91phFYTqprL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91phFYTqprL._SL256_.jpg'}]",B08S3199S8,B08S3199S8,AFDYIK3FNPY2JFBQYUWC6GSBMIRQ_2,4/26/2021 20:46,1,1,610000,694000.0,False
5,Smells Great!,I really liked the smell of this product.  I love all things tea tree.  It left my hair feeling really clean and shiny.  I do wish you would get larger bottles for the price.  I do like the anti-fungal properties for the scalp.,[],B0722L7Q3L,B0722L7Q3L,AGSJ6S7UQTVTSM2OR3434O6PFNMA,7/19/2018 14:20,0,0,99999,99999.0,True
5,Worth a try!,I like it so far! It’s easy to use and I like the sheerness of the spray. I tried it out because I wanted to try a new hair spray and I like it a lot.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1bONocPkHS._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1bONocPkHS._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1bONocPkHS._SL256_.jpg'}]",B08NFJ2GGT,B08NFJ2GGT,AE7RRDTFEITEBEIVBZ6P5EF34HJQ,3/8/2021 5:06,0,0,99999,99999.0,True
